2026-03-16 12:04:47 | INFO     | Конфигурация загружена
2026-03-16 12:17:37 | INFO     | Настройки сохранены
2026-03-16 12:17:39 | INFO     | Настройки сохранены
2026-03-16 12:17:39 | INFO     | Запуск бота Ozon...
2026-03-16 12:17:39 | INFO     | OzonBot: Бот запущен
2026-03-16 12:18:28 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/count (Caused by ConnectTimeoutError(<HTTPSConnection(host='api-seller.ozon.ru', port=443) at 0x22d004a9160>, 'Connection to api-seller.ozon.ru timed out. (connect timeout=None)'))
2026-03-16 12:20:31 | INFO     | Ozon: Успешное подключение к API
2026-03-16 12:20:31 | INFO     | OzonBot: Начало обработки отзывов
2026-03-16 12:21:02 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Read timed out. (read timeout=None)
2026-03-16 12:21:14 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:16 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:16 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:17 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:19 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:19 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:20 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:22 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:22 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:23 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:31 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:31 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:32 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:34 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:34 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:35 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:21:42 | ERROR    | Ozon API request exception: HTTPSConnectionPool(host='api-seller.ozon.ru', port=443): Max retries exceeded with url: /v1/review/info (Caused by NameResolutionError("HTTPSConnection(host='api-seller.ozon.ru', port=443): Failed to resolve 'api-seller.ozon.ru' ([Errno 11001] getaddrinfo failed)"))
2026-03-16 12:22:27 | INFO     | OzonBot: Остановка бота...
2026-03-16 12:22:37 | INFO     | OzonBot: Бот остановлен
2026-03-16 12:22:37 | INFO     | Бот Ozon остановлен
